16:10:48.513 -> off_100ms,on_200ms,on_150ms,on_100ms,on_50ms,on_20ms,on_10ms
16:16:37.053 -> 6,611,461,312,159,66,34
16:16:37.700 -> 7,610,462,311,159,68,37
16:16:38.356 -> 6,610,462,311,159,67,37
16:16:38.974 -> 10,610,461,312,158,67,35
16:16:39.584 -> 10,610,462,311,159,68,36
16:16:40.240 -> 8,610,462,310,159,67,36
16:16:40.851 -> 8,611,462,311,158,66,36
16:16:41.507 -> 8,610,461,312,158,68,36
16:16:42.115 -> 10,610,461,311,159,67,38
16:16:42.771 -> 10,611,462,311,159,68,38
16:16:43.380 -> 6,610,463,311,159,67,36
16:16:44.038 -> 10,610,461,311,159,67,36
16:16:44.647 -> 6,610,461,311,159,66,34
16:16:45.256 -> 8,610,463,311,159,67,37
16:16:45.912 -> 8,610,462,311,159,68,37
16:16:46.537 -> 9,610,462,312,159,67,37
16:16:47.191 -> 10,611,461,311,159,67,37
16:16:47.787 -> 6,610,463,311,159,67,36
16:16:48.443 -> 6,611,463,312,161,68,37
16:16:49.053 -> 9,610,462,311,159,67,35
16:16:49.695 -> 10,610,462,311,159,67,38
16:16:50.351 -> 8,611,461,311,159,67,35
16:16:50.960 -> 6,610,462,311,159,68,38
16:16:51.585 -> 6,610,462,311,159,67,37
16:16:52.240 -> 6,610,462,312,159,69,39
16:16:52.850 -> 6,610,461,310,159,67,38
16:16:53.506 -> 9,610,461,311,159,67,35
16:16:54.115 -> 10,610,462,310,160,67,37
16:16:54.771 -> 7,610,462,311,159,67,38
16:16:55.381 -> 6,610,463,311,160,67,38
16:16:56.037 -> 9,611,463,312,159,67,37
16:16:56.645 -> 6,611,462,312,159,68,37
16:16:57.301 -> 6,611,462,311,159,67,36
16:16:57.910 -> 8,611,462,312,159,68,37
16:16:58.566 -> 8,611,463,311,159,67,37
16:16:59.175 -> 9,610,462,311,159,68,37
16:16:59.831 -> 9,611,462,311,159,69,37
16:17:00.440 -> 6,611,462,312,159,66,36
16:17:01.098 -> 9,611,461,312,159,68,35
16:17:01.722 -> 10,611,462,312,159,68,35
16:17:02.331 -> 7,611,462,312,158,67,35
16:17:02.940 -> 7,612,462,311,159,67,38
16:17:03.596 -> 6,611,463,311,159,66,37
16:17:04.244 -> 9,611,463,312,161,67,37
16:17:04.886 -> 6,610,463,312,159,66,37
16:17:05.495 -> 7,612,463,311,159,67,37
16:17:06.151 -> 6,611,463,312,159,68,38
16:17:06.761 -> 6,612,462,310,159,67,36
16:17:07.385 -> 10,611,462,312,159,66,36
16:17:08.028 -> 8,611,463,311,159,67,35
16:17:08.627 -> 6,611,463,313,160,67,35
16:17:09.283 -> 8,612,464,311,159,68,37
16:17:09.893 -> 6,611,463,311,159,68,37
16:17:10.549 -> 7,612,462,312,160,67,36
16:17:11.157 -> 10,612,463,312,160,67,37
16:17:11.813 -> 7,613,463,311,159,68,38
16:17:12.423 -> 7,612,463,312,160,67,36
16:17:13.077 -> 9,612,463,313,159,67,36
16:17:13.687 -> 8,612,463,312,159,68,37
16:17:14.344 -> 6,612,463,311,161,67,38
16:17:14.968 -> 9,611,462,312,159,67,36
16:17:15.577 -> 10,612,462,313,160,68,38
16:17:16.233 -> 7,612,463,311,160,68,36
16:17:16.842 -> 7,612,462,311,160,67,37
16:17:17.498 -> 9,612,463,311,159,68,37
16:17:18.108 -> 9,612,463,311,160,67,37
16:17:18.763 -> 6,613,463,311,159,67,36
16:17:19.373 -> 10,612,462,311,160,66,36
16:17:20.029 -> 6,611,462,312,159,67,37
16:17:20.638 -> 9,613,463,312,159,67,36
16:17:21.294 -> 8,612,463,312,160,68,37
16:17:21.903 -> 9,611,463,311,159,69,38
16:17:22.513 -> 6,613,463,312,159,68,35
16:17:23.182 -> 6,612,464,311,159,66,38
16:17:23.786 -> 7,612,464,311,159,67,37
16:17:24.443 -> 6,611,463,312,159,67,37
16:17:25.053 -> 10,612,464,311,159,67,37
16:17:25.710 -> 7,612,463,311,159,67,37
16:17:26.319 -> 6,613,464,312,161,68,36
16:17:26.975 -> 7,613,464,311,159,68,38
16:17:27.584 -> 9,613,464,313,159,68,35
16:17:28.239 -> 9,615,464,313,159,67,37
16:17:28.844 -> 6,612,462,312,159,68,37
16:17:29.500 -> 10,612,463,312,159,68,37
16:17:30.109 -> 6,613,464,313,159,68,35
16:17:30.765 -> 8,612,463,312,159,67,35
16:17:31.374 -> 6,613,463,312,159,68,36
16:17:32.030 -> 7,612,463,313,159,67,37
16:17:32.639 -> 9,612,463,313,159,67,35
16:17:33.309 -> 10,613,463,313,159,68,37
16:17:33.921 -> 9,613,464,312,159,67,35
16:17:34.530 -> 9,613,463,311,159,67,37
16:17:35.186 -> 8,614,465,313,159,67,37
16:17:35.796 -> 10,612,463,313,160,68,38
16:17:36.452 -> 9,612,464,312,159,67,36
16:17:37.061 -> 9,613,464,313,159,65,37
16:17:37.717 -> 8,613,464,313,159,68,35
16:17:38.326 -> 8,612,463,312,159,66,37
16:17:38.935 -> 10,614,463,313,159,67,37
16:17:39.591 -> 6,613,464,313,160,68,37
16:17:40.201 -> 6,613,464,313,159,68,37
16:17:40.857 -> 6,613,463,311,159,67,37
16:17:41.466 -> 8,613,464,311,160,69,38
16:17:42.109 -> 10,614,464,313,159,68,38
16:17:42.765 -> 10,614,463,311,159,67,37
16:17:43.375 -> 6,613,463,313,159,68,37
16:17:44.030 -> 6,614,464,314,159,67,37
16:17:44.639 -> 7,614,464,312,159,67,36
16:17:45.296 -> 6,613,464,313,159,67,38
16:17:45.905 -> 10,613,464,313,159,69,37
16:17:46.561 -> 6,612,464,311,159,66,37
16:17:47.170 -> 10,614,464,313,162,68,37
16:17:47.778 -> 8,614,464,313,160,67,36
16:17:48.434 -> 10,613,464,311,160,67,37
16:17:49.043 -> 7,613,463,313,159,67,35
16:17:49.700 -> 6,613,464,312,159,68,37
16:17:50.309 -> 10,613,464,313,159,66,35
16:17:50.965 -> 9,614,464,313,159,67,37
16:17:51.575 -> 7,614,463,312,159,69,36
16:17:52.231 -> 6,615,465,313,160,68,38
16:17:52.840 -> 7,614,464,313,159,68,36
16:17:53.509 -> 9,614,463,313,159,68,37
16:17:54.120 -> 10,613,463,313,160,68,37
16:17:54.729 -> 7,613,465,312,159,67,37
16:17:55.385 -> 8,613,464,313,161,68,35
16:17:55.995 -> 7,614,465,314,161,69,37
16:17:56.642 -> 9,613,464,313,160,69,35
16:17:57.251 -> 9,613,463,313,161,67,35
16:17:57.908 -> 10,614,464,313,161,68,37
16:17:58.516 -> 10,614,464,313,161,67,35
16:17:59.173 -> 10,613,465,312,160,67,35
16:17:59.773 -> 6,615,464,313,159,68,36
16:18:00.430 -> 8,613,464,313,160,67,37
16:18:01.039 -> 10,614,464,313,159,67,37
16:18:01.695 -> 6,614,464,313,159,67,38
16:18:02.304 -> 6,614,464,311,162,67,35
16:18:02.960 -> 9,614,465,313,161,69,35
16:18:03.569 -> 6,614,465,313,161,69,35
16:18:04.226 -> 7,616,464,313,159,67,39
16:18:04.835 -> 6,614,465,313,161,66,38
16:18:05.491 -> 7,615,465,314,159,69,36
16:18:06.100 -> 9,614,465,313,159,67,38
16:18:06.756 -> 8,614,466,312,159,69,38
16:18:07.365 -> 10,615,465,314,159,67,37
16:18:08.021 -> 9,614,465,313,160,69,35
16:18:08.631 -> 10,614,465,314,161,69,36
16:18:09.287 -> 7,614,465,314,161,67,35
16:18:09.896 -> 7,615,465,314,159,69,38
16:18:10.553 -> 6,614,464,313,159,68,37
16:18:11.162 -> 6,615,466,313,159,67,38
16:18:11.818 -> 7,615,465,313,161,68,36
16:18:12.427 -> 10,614,464,313,160,67,38
16:18:13.083 -> 9,614,464,313,159,68,36
16:18:13.692 -> 10,615,465,313,161,69,35
16:18:14.301 -> 7,614,464,314,159,68,35
16:18:14.959 -> 10,615,466,312,159,69,38
16:18:15.569 -> 8,614,465,313,159,69,37
16:18:16.225 -> 6,615,465,312,161,67,36
16:18:16.834 -> 8,614,464,314,161,69,37
16:18:17.500 -> 7,616,465,314,159,68,37
16:18:18.110 -> 6,614,465,313,162,68,37
16:18:18.719 -> 7,615,465,314,160,68,37
16:18:19.375 -> 10,615,465,312,159,69,36
16:18:19.998 -> 6,614,465,314,161,67,37
16:18:20.608 -> 10,615,464,312,160,67,38
16:18:21.264 -> 9,615,465,314,159,67,36
16:18:21.874 -> 6,615,465,314,160,68,36
16:18:22.530 -> 7,615,466,313,160,67,37
16:18:23.139 -> 6,615,465,315,159,68,36
16:18:23.795 -> 7,615,466,313,160,67,38
16:18:24.404 -> 10,615,464,314,159,68,38
16:18:25.058 -> 10,615,465,313,161,67,37
16:18:25.668 -> 7,616,465,313,160,67,38
16:18:26.324 -> 7,615,465,313,161,68,38
16:18:26.935 -> 6,615,465,314,159,67,38
16:18:27.591 -> 7,616,466,313,160,67,38
16:18:28.200 -> 8,615,465,314,159,68,38
16:18:28.856 -> 10,615,466,314,161,67,38
16:18:29.465 -> 6,616,466,314,159,68,35
16:18:30.121 -> 9,616,466,313,161,68,39
16:18:30.730 -> 10,616,466,314,160,68,37
16:18:31.386 -> 8,616,466,314,161,69,36
16:18:31.996 -> 7,616,466,315,160,67,36
16:18:32.650 -> 6,616,466,313,160,68,38
16:18:33.260 -> 10,615,465,314,162,68,37
16:18:33.915 -> 7,615,466,314,160,68,35
16:18:34.525 -> 9,616,465,315,161,68,37
16:18:35.181 -> 6,615,466,314,161,67,38
16:18:35.790 -> 6,617,465,314,159,67,37
16:18:36.446 -> 7,616,466,313,161,66,39
16:18:37.056 -> 6,616,465,313,161,68,39
16:18:37.712 -> 8,616,465,314,161,69,36
16:18:38.321 -> 9,616,465,314,159,69,35
16:18:38.930 -> 10,616,465,314,161,67,38
16:18:39.586 -> 9,616,465,313,161,68,38
16:18:40.195 -> 8,615,465,314,161,67,38
16:18:40.852 -> 10,616,466,312,160,68,39
16:18:41.461 -> 10,616,466,314,159,68,38
16:18:42.108 -> 6,616,465,314,161,68,36
16:18:42.764 -> 10,615,465,313,161,69,36
16:18:43.388 -> 7,616,466,313,159,69,37
16:18:43.998 -> 8,616,467,313,161,67,38
16:18:44.607 -> 6,616,467,313,160,67,37
16:18:45.263 -> 9,616,465,314,159,68,37
16:18:45.872 -> 8,616,466,313,161,67,38
16:18:46.528 -> 10,616,466,313,160,67,37
16:18:47.137 -> 8,618,466,313,161,70,37
16:18:47.788 -> 10,617,466,315,160,68,38
16:18:48.397 -> 8,616,466,314,160,68,35
16:18:49.053 -> 7,617,466,314,159,66,37
16:18:49.663 -> 10,616,466,314,159,67,36
16:18:50.319 -> 6,617,466,313,159,67,37
16:18:50.928 -> 6,616,465,314,159,68,38
16:18:51.584 -> 10,616,466,314,159,67,39
16:18:52.194 -> 7,617,468,315,159,68,38
16:18:52.817 -> 9,616,466,313,161,69,38
16:18:53.474 -> 7,616,467,315,161,69,37
16:18:54.083 -> 10,616,467,313,159,68,38
16:18:54.739 -> 6,617,466,314,161,67,38
16:18:55.350 -> 8,617,467,314,160,70,38
16:18:56.006 -> 8,617,466,314,161,67,37
16:18:56.615 -> 9,616,466,315,161,68,38
16:18:57.272 -> 6,616,466,314,161,67,38
16:18:57.874 -> 6,617,467,315,162,68,38
16:18:58.531 -> 9,617,467,314,162,69,36
16:18:59.145 -> 8,616,466,315,161,67,37
16:18:59.803 -> 7,617,467,313,161,68,37
16:19:00.412 -> 10,617,466,314,161,68,38
16:19:01.069 -> 8,617,466,313,161,68,35
16:19:01.678 -> 9,617,466,313,161,68,38
16:19:02.334 -> 6,617,467,315,161,69,37
16:19:02.944 -> 9,616,467,315,161,68,38
16:19:03.600 -> 7,618,467,314,161,67,38
16:19:04.209 -> 6,617,467,314,160,68,37
16:19:04.851 -> 7,617,466,314,161,67,38
16:19:05.460 -> 9,617,467,315,160,67,38
16:19:06.117 -> 7,616,466,315,159,69,37
16:19:06.726 -> 6,617,467,314,161,68,37
16:19:07.382 -> 9,616,467,316,161,69,37
16:19:07.991 -> 9,617,468,314,162,70,36
16:19:08.647 -> 7,617,467,314,161,68,37
16:19:09.258 -> 10,618,466,313,161,70,38
16:19:09.914 -> 8,616,467,315,161,68,36
16:19:10.523 -> 7,617,468,314,161,67,38
16:19:11.180 -> 7,618,466,314,161,67,37
16:19:11.789 -> 7,617,467,314,161,67,37
16:19:12.445 -> 10,618,465,314,160,67,37
16:19:13.054 -> 8,617,467,316,162,67,36
16:19:13.663 -> 10,617,467,315,162,67,37
16:19:14.319 -> 6,618,467,315,161,70,37
16:19:14.929 -> 10,617,467,315,161,67,37
16:19:15.585 -> 7,618,466,314,162,69,36
16:19:16.194 -> 7,617,467,315,162,68,37
16:19:16.850 -> 6,616,467,314,161,68,39
16:19:17.474 -> 9,616,467,315,162,68,37
16:19:18.084 -> 9,618,467,316,161,67,37
16:19:18.720 -> 9,618,467,315,160,69,37
16:19:19.344 -> 10,619,467,315,160,68,36
16:19:20.000 -> 7,616,469,315,162,68,35
16:19:20.609 -> 10,618,467,315,159,69,37
16:19:21.265 -> 9,616,467,316,161,70,36
16:19:21.875 -> 10,617,467,315,163,68,37
16:19:22.531 -> 6,618,467,315,162,69,37
16:19:23.153 -> 7,618,466,314,160,67,37
16:19:23.764 -> 8,617,467,315,159,68,37
16:19:24.420 -> 8,618,467,315,159,69,38
16:19:25.021 -> 10,618,468,315,159,68,39
16:19:25.677 -> 8,617,467,315,161,68,36
16:19:26.286 -> 7,617,467,315,161,68,35
16:19:26.944 -> 8,619,468,315,162,68,37
16:19:27.553 -> 7,619,468,314,162,67,38
16:19:28.209 -> 10,617,467,315,161,70,37
16:19:28.818 -> 8,618,467,315,160,67,36
16:19:29.474 -> 9,618,467,315,161,67,37
16:19:30.084 -> 6,618,467,316,161,68,38
16:19:30.731 -> 10,619,468,315,162,68,39
16:19:31.340 -> 10,618,467,315,161,68,38
16:19:31.996 -> 7,618,467,315,162,67,35
16:19:32.597 -> 9,618,468,314,162,68,36
16:19:33.253 -> 6,617,467,315,161,67,37
16:19:33.862 -> 10,618,468,315,161,67,39
16:19:34.519 -> 10,618,468,314,162,68,37
16:19:35.128 -> 9,618,468,314,161,68,37
16:19:35.784 -> 7,618,468,317,161,67,38
16:19:36.393 -> 10,617,468,315,162,67,37
16:19:37.049 -> 10,620,468,315,163,68,37
16:19:37.689 -> 7,618,468,315,161,68,37
16:19:38.298 -> 7,619,468,315,161,69,37
16:19:38.955 -> 8,618,469,315,161,68,38
16:19:39.564 -> 8,618,467,315,160,68,38
16:19:40.233 -> 7,619,469,315,160,69,36
16:19:40.839 -> 9,618,468,315,161,68,38
16:19:41.450 -> 10,618,468,315,160,69,37
16:19:42.106 -> 10,619,469,316,162,68,36
16:19:42.715 -> 10,619,468,315,162,67,36
16:19:43.382 -> 10,619,468,314,162,69,37
16:19:43.991 -> 6,619,467,315,161,68,37
16:19:44.635 -> 10,619,467,316,162,68,38
16:19:45.244 -> 10,619,468,315,161,70,35
16:19:45.900 -> 7,619,468,315,161,68,37
16:19:46.510 -> 7,619,468,316,162,69,37
16:19:47.166 -> 6,618,468,315,162,67,37
16:19:47.791 -> 6,619,469,315,161,69,37
16:19:48.400 -> 10,619,469,316,160,67,37
16:19:49.056 -> 10,618,469,315,162,68,35
16:19:49.665 -> 9,618,468,315,161,69,38
16:19:50.321 -> 8,619,467,316,161,68,35
16:19:50.930 -> 10,620,468,316,163,68,38
16:19:51.587 -> 6,619,470,317,162,67,36
16:19:52.196 -> 10,618,468,316,162,69,37
16:19:52.852 -> 10,619,468,316,161,67,35
16:19:53.471 -> 7,619,468,315,160,69,37
16:19:54.080 -> 8,619,468,317,162,67,37
16:19:54.736 -> 6,620,469,315,162,70,36
16:19:55.345 -> 10,619,469,316,162,69,37
16:19:56.001 -> 8,618,469,316,163,68,37
16:19:56.608 -> 6,618,468,316,161,67,38
16:19:57.219 -> 7,618,468,315,161,68,37
16:19:57.875 -> 9,620,468,316,162,69,38
16:19:58.483 -> 10,620,469,315,161,69,36
16:19:59.140 -> 7,620,469,316,162,67,38
16:19:59.749 -> 7,620,469,315,162,68,37
16:20:00.405 -> 8,619,469,316,163,68,37
16:20:01.011 -> 7,619,470,317,163,68,35
16:20:01.667 -> 9,619,469,316,162,68,37
16:20:02.281 -> 8,619,468,316,162,68,37
16:20:02.916 -> 8,619,469,315,162,68,38
16:20:03.568 -> 6,620,468,315,162,68,38
16:20:04.178 -> 10,619,467,315,162,69,38
16:20:04.835 -> 8,619,469,316,161,68,36
16:20:05.444 -> 10,620,468,316,162,67,37
16:20:06.100 -> 10,620,469,317,162,69,37
16:20:06.710 -> 10,620,469,315,163,67,35
16:20:07.366 -> 9,619,469,316,162,68,38
16:20:07.991 -> 10,619,469,317,159,69,38
16:20:08.635 -> 10,619,469,316,163,68,37
16:20:09.244 -> 9,620,468,315,162,68,35
16:20:09.853 -> 8,620,468,316,163,68,37
16:20:10.509 -> 7,620,469,315,162,69,37
16:20:11.118 -> 10,620,469,317,162,67,39
16:20:11.775 -> 6,619,469,317,162,68,37
16:20:12.384 -> 6,620,470,315,161,68,38
16:20:13.027 -> 7,620,468,316,162,69,37
16:20:13.682 -> 9,620,470,316,162,69,38
16:20:14.292 -> 9,620,469,316,161,70,36
16:20:14.948 -> 7,620,469,317,161,68,38
16:20:15.557 -> 8,620,469,317,161,69,37
16:20:16.213 -> 6,620,469,315,161,68,38
16:20:16.823 -> 10,620,468,316,161,69,37
16:20:17.477 -> 8,620,469,315,161,69,38
16:20:18.087 -> 6,620,470,316,163,67,37
16:20:18.696 -> 9,620,469,317,163,69,37
16:20:19.353 -> 7,619,470,316,163,71,38
16:20:19.962 -> 6,620,469,317,163,67,38
16:20:20.618 -> 10,620,469,316,162,69,38
16:20:21.227 -> 7,621,469,316,162,68,35
16:20:21.883 -> 10,620,469,317,162,69,36
16:20:22.493 -> 7,620,469,316,162,70,38
16:20:23.111 -> 9,621,469,317,163,69,38
16:20:23.767 -> 10,621,469,317,161,69,37
16:20:24.376 -> 10,621,469,316,162,69,36
16:20:25.032 -> 10,621,470,317,162,69,36
16:20:25.641 -> 10,621,469,317,162,67,38
16:20:26.298 -> 8,621,469,316,163,70,37
16:20:26.907 -> 6,621,470,318,161,68,38
16:20:27.563 -> 8,621,470,317,161,67,38
16:20:28.187 -> 7,620,470,317,162,69,39
16:20:28.843 -> 8,620,470,316,162,68,39
16:20:29.451 -> 7,621,469,315,162,69,38
16:20:30.107 -> 9,620,469,315,162,68,37
16:20:30.716 -> 10,621,470,316,161,69,37
16:20:31.372 -> 10,620,469,317,162,69,37
16:20:31.981 -> 8,621,469,316,162,70,37
16:20:32.592 -> 7,621,470,316,162,69,37
16:20:33.216 -> 10,621,470,317,163,69,37
16:20:33.872 -> 9,621,469,316,161,69,36
16:20:34.483 -> 10,622,470,316,162,69,37
16:20:35.139 -> 9,620,470,316,161,69,36
16:20:35.748 -> 6,622,469,317,162,68,38
16:20:36.404 -> 9,621,469,316,161,69,38
16:20:37.014 -> 7,620,470,316,162,69,39
16:20:37.670 -> 9,621,470,317,162,69,37
16:20:38.279 -> 6,620,470,316,162,69,38
16:20:38.935 -> 7,620,469,316,162,69,37
16:20:39.544 -> 6,621,469,316,162,69,37
16:20:40.201 -> 9,621,470,317,161,70,37
16:20:40.811 -> 7,621,469,317,163,68,39
16:20:41.467 -> 10,621,469,316,162,68,37
16:20:42.079 -> 8,622,470,316,162,68,37
16:20:42.735 -> 10,621,470,316,162,68,37
16:20:43.344 -> 7,621,470,316,161,69,35
16:20:44.000 -> 8,621,471,316,162,69,38
16:20:44.611 -> 9,621,469,317,162,69,37
16:20:45.235 -> 7,622,470,316,162,67,38
16:20:45.891 -> 7,621,470,316,162,69,38
16:20:46.490 -> 9,622,470,317,163,69,37
16:20:47.147 -> 10,621,469,316,162,69,37
16:20:47.755 -> 10,621,471,316,161,67,37
16:20:48.411 -> 6,621,470,316,162,67,38
16:20:49.020 -> 10,621,470,318,163,69,37
16:20:49.676 -> 10,622,471,317,162,68,37
16:20:50.286 -> 10,622,470,317,161,68,37
16:20:50.942 -> 10,622,471,317,162,67,38
16:20:51.551 -> 7,621,470,317,161,69,37
16:20:52.207 -> 6,621,471,317,163,69,37
16:20:52.831 -> 10,621,470,317,162,70,37
16:20:53.440 -> 8,621,471,317,162,69,37
16:20:54.096 -> 6,622,471,316,162,69,37
16:20:54.705 -> 8,623,470,317,161,69,38
16:20:55.314 -> 6,621,470,316,162,69,38
16:20:55.971 -> 11,622,471,317,163,69,38
16:20:56.580 -> 7,621,471,317,162,69,38
16:20:57.236 -> 10,622,469,317,163,69,37
16:20:57.877 -> 7,622,470,317,162,68,35
16:20:58.486 -> 10,623,471,317,163,70,37
16:20:59.142 -> 6,623,471,317,163,67,37
16:20:59.752 -> 10,622,470,316,161,70,38
16:21:00.408 -> 10,623,470,316,162,70,35
16:21:01.018 -> 9,622,472,318,161,69,37
16:21:01.674 -> 6,622,470,317,163,69,37
16:21:02.284 -> 10,622,471,317,162,70,37
16:21:02.908 -> 6,622,470,317,162,69,36
16:21:03.563 -> 8,622,471,316,162,69,38
16:21:04.173 -> 8,622,470,318,163,69,37
16:21:04.815 -> 9,622,471,318,161,69,38
16:21:05.451 -> 6,622,471,317,163,69,37
16:21:06.060 -> 8,623,470,317,163,68,37
16:21:06.716 -> 6,623,473,317,162,68,37
16:21:07.324 -> 7,622,472,317,162,68,36
16:21:07.980 -> 6,624,472,317,162,69,37
16:21:08.590 -> 6,622,472,317,163,69,38
16:21:09.246 -> 6,622,470,317,163,68,37
16:21:09.854 -> 8,623,471,317,163,68,37
16:21:10.511 -> 6,622,471,318,163,69,37
16:21:11.120 -> 7,623,470,316,163,68,37
16:21:11.776 -> 8,622,471,317,162,69,37
16:21:12.385 -> 6,623,471,318,161,69,38
16:21:13.010 -> 10,622,471,317,163,69,38
16:21:13.666 -> 7,624,473,318,162,69,37
16:21:14.275 -> 10,623,471,318,163,68,38
16:21:14.931 -> 6,622,470,316,162,69,37
16:21:15.527 -> 7,623,472,316,162,68,38
16:21:16.184 -> 6,622,472,317,163,69,38
16:21:16.793 -> 10,622,471,318,162,69,39
16:21:17.449 -> 6,622,471,318,161,71,37
16:21:18.052 -> 6,623,471,317,163,69,36
16:21:18.710 -> 8,622,472,318,162,68,37
16:21:19.351 -> 10,623,470,317,163,69,37
16:21:19.960 -> 8,622,472,318,163,70,37
16:21:20.584 -> 7,623,471,318,163,69,38
16:21:21.241 -> 7,623,471,317,163,68,35
16:21:21.884 -> 9,623,470,317,162,70,38
16:21:22.493 -> 7,623,471,317,163,70,38
16:21:23.116 -> 9,623,472,317,163,68,38
16:21:23.772 -> 7,622,472,318,162,69,36
16:21:24.387 -> 6,623,471,317,163,68,39
16:21:25.033 -> 6,623,471,318,163,67,39
16:21:25.642 -> 10,623,472,318,162,70,38
16:21:26.298 -> 10,623,470,318,162,68,36
16:21:26.907 -> 9,623,472,317,162,68,37
16:21:27.563 -> 8,623,471,317,162,68,37
16:21:28.172 -> 8,622,470,317,162,69,36
16:21:28.781 -> 8,623,471,317,163,69,37
16:21:29.437 -> 8,623,471,316,163,69,37
16:21:30.046 -> 10,623,472,319,163,68,37
16:21:30.702 -> 10,622,471,317,162,69,38
16:21:31.312 -> 8,624,471,317,163,69,37
16:21:31.967 -> 9,624,472,317,163,69,38
16:21:32.585 -> 10,622,473,317,162,68,37
16:21:33.235 -> 6,623,472,318,162,69,37
16:21:33.845 -> 10,623,472,317,163,70,38
16:21:34.501 -> 10,623,471,318,162,68,38
16:21:35.109 -> 10,624,473,318,161,69,37
16:21:35.750 -> 6,623,471,318,163,69,37
16:21:36.360 -> 10,622,470,318,163,69,38
16:21:37.015 -> 6,622,471,317,163,71,36
16:21:37.625 -> 6,624,474,318,163,69,37
16:21:38.285 -> 10,623,470,317,163,69,37
16:21:38.894 -> 6,623,472,317,163,67,37
16:21:39.550 -> 10,624,471,318,162,69,37
16:21:40.160 -> 6,623,472,318,162,69,38
16:21:40.815 -> 7,624,472,318,162,69,38
16:21:41.425 -> 6,624,471,318,163,68,36
16:21:42.082 -> 10,622,471,318,163,69,38
16:21:42.691 -> 7,624,473,318,162,68,39
16:21:43.348 -> 8,623,472,318,163,68,35
16:21:43.957 -> 7,623,472,319,163,69,39
16:21:44.613 -> 6,624,471,317,163,69,38
16:21:45.222 -> 6,624,472,318,163,68,37
16:21:45.878 -> 10,623,472,318,163,70,38
16:21:46.487 -> 9,623,471,318,163,69,37
16:21:47.144 -> 10,623,471,318,163,69,38
16:21:47.753 -> 10,623,472,318,163,68,38
16:21:48.398 -> 6,624,473,317,162,69,37
16:21:49.007 -> 6,623,472,318,163,69,39
16:21:49.663 -> 10,624,472,317,162,68,37
16:21:50.272 -> 8,624,471,318,163,68,36
16:21:50.929 -> 9,624,472,318,163,67,38
16:21:51.553 -> 7,624,471,317,162,69,39
16:21:52.164 -> 8,623,472,319,164,69,38
16:21:52.819 -> 6,624,471,319,162,67,38
16:21:53.444 -> 7,624,472,319,162,69,38
16:21:54.052 -> 8,624,472,318,162,67,39
16:21:54.709 -> 6,624,471,317,163,69,37
16:21:55.318 -> 10,623,473,318,163,69,38
16:21:55.976 -> 8,625,471,318,162,69,36
16:21:56.585 -> 8,623,472,317,163,70,38
16:21:57.241 -> 9,624,472,318,163,68,38
16:21:57.850 -> 9,625,472,318,162,69,38
16:21:58.506 -> 8,625,472,318,162,69,37
16:21:59.115 -> 7,624,473,319,163,69,37
16:21:59.771 -> 6,625,472,317,162,69,38
16:22:00.367 -> 6,624,473,318,163,71,37
16:22:01.023 -> 7,624,473,319,163,67,38
16:22:01.668 -> 6,625,471,318,163,69,37
16:22:02.277 -> 7,625,471,318,162,69,38
16:22:02.933 -> 9,625,472,319,162,69,39
16:22:03.544 -> 7,625,472,318,161,69,37
16:22:04.154 -> 6,624,471,318,163,69,39
16:22:04.810 -> 10,624,472,319,164,68,39
16:22:05.419 -> 10,624,472,319,163,68,38
16:22:06.075 -> 8,624,473,319,163,69,37
16:22:06.689 -> 10,624,473,318,163,70,37
16:22:07.333 -> 7,624,472,319,163,71,37
16:22:07.957 -> 7,624,472,319,162,70,38
16:22:08.603 -> 6,624,473,319,164,69,38
16:22:09.227 -> 7,626,471,319,162,69,38
16:22:09.838 -> 10,625,472,320,162,69,38
16:22:10.494 -> 7,624,472,318,162,68,38
16:22:11.118 -> 7,624,471,318,163,69,39
16:22:11.775 -> 6,625,473,319,163,67,37
16:22:12.384 -> 10,625,473,319,164,68,38
16:22:13.040 -> 7,624,472,319,163,68,36
16:22:13.648 -> 8,625,473,319,163,69,37
16:22:14.257 -> 6,625,472,318,163,70,37
16:22:14.913 -> 8,625,473,319,164,69,39
16:22:15.523 -> 10,626,472,319,164,69,37
16:22:16.179 -> 6,625,473,319,163,71,36
16:22:16.788 -> 7,624,473,318,162,69,37
16:22:17.444 -> 7,625,472,319,163,69,37
16:22:18.089 -> 6,624,474,319,163,69,36
16:22:18.697 -> 9,626,473,318,163,69,38
16:22:19.354 -> 6,625,473,318,162,69,39
16:22:19.963 -> 6,625,471,318,162,68,39
16:22:20.619 -> 7,624,473,317,162,69,36
16:22:21.228 -> 10,625,473,318,163,69,37
16:22:21.837 -> 10,625,473,319,163,68,35
16:22:22.461 -> 8,625,473,319,163,69,38
16:22:23.118 -> 8,626,472,319,163,70,37
16:22:23.742 -> 9,625,473,318,163,69,37
16:22:24.367 -> 10,625,474,318,163,69,38
16:22:25.023 -> 6,625,472,318,163,69,35
16:22:25.632 -> 8,624,474,319,163,69,39
16:22:26.288 -> 6,624,473,318,163,69,37
16:22:26.897 -> 6,625,474,319,162,69,39
16:22:27.548 -> 7,625,474,318,163,68,37
16:22:28.158 -> 10,625,472,318,163,67,36
