16:10:48.513 -> off_100ms,on_200ms,on_150ms,on_100ms,on_50ms,on_20ms,on_10ms
16:12:08.066 -> 10,599,454,305,156,66,37
16:12:08.723 -> 7,599,453,305,157,66,35
16:12:09.332 -> 6,600,454,305,155,65,37
16:12:09.988 -> 7,600,453,306,157,66,37
16:12:10.597 -> 10,600,452,307,156,66,37
16:12:11.253 -> 7,599,453,306,157,66,36
16:12:11.862 -> 6,600,453,304,156,67,35
16:12:12.519 -> 10,600,453,305,157,64,37
16:12:13.128 -> 9,599,453,304,157,65,35
16:12:13.784 -> 8,600,454,304,157,66,35
16:12:14.393 -> 6,598,454,306,157,67,37
16:12:15.049 -> 6,599,454,306,157,65,35
16:12:15.658 -> 10,600,453,304,157,67,37
16:12:16.267 -> 7,598,455,306,157,68,35
16:12:16.924 -> 9,599,452,305,156,67,37
16:12:17.535 -> 10,600,453,306,157,67,35
16:12:18.191 -> 9,600,453,306,157,65,35
16:12:18.800 -> 10,599,453,306,157,66,35
16:12:19.456 -> 8,599,453,305,157,66,36
16:12:20.065 -> 8,598,454,306,156,65,35
16:12:20.721 -> 6,599,454,306,156,67,37
16:12:21.330 -> 8,599,454,305,157,67,37
16:12:21.986 -> 10,598,453,306,156,66,37
16:12:22.596 -> 7,600,454,305,157,67,35
16:12:23.245 -> 7,598,453,306,157,67,36
16:12:23.855 -> 8,598,453,306,157,66,35
16:12:24.511 -> 8,598,452,305,157,66,38
16:12:25.120 -> 7,599,453,304,157,67,36
16:12:25.776 -> 7,599,452,306,156,66,35
16:12:26.385 -> 10,598,453,306,157,67,36
16:12:27.041 -> 6,600,454,305,156,67,37
16:12:27.651 -> 6,598,453,305,157,65,36
16:12:28.260 -> 6,599,453,305,156,66,37
16:12:28.916 -> 10,600,453,306,156,66,35
16:12:29.525 -> 6,599,454,305,157,68,34
16:12:30.181 -> 6,600,453,306,156,66,37
16:12:30.791 -> 10,599,454,305,157,65,36
16:12:31.447 -> 6,599,453,306,158,63,36
16:12:32.056 -> 8,599,453,306,158,67,36
16:12:32.712 -> 7,599,453,305,156,68,36
16:12:33.321 -> 8,599,453,306,157,66,37
16:12:33.976 -> 7,600,453,305,156,66,36
16:12:34.585 -> 9,599,454,305,158,67,37
16:12:35.240 -> 6,600,454,305,157,66,37
16:12:35.850 -> 10,600,454,305,156,67,35
16:12:36.506 -> 9,600,453,306,156,66,35
16:12:37.116 -> 6,600,453,305,156,67,37
16:12:37.772 -> 6,599,454,305,156,65,37
16:12:38.380 -> 8,599,454,305,157,66,38
16:12:38.990 -> 9,599,454,306,157,66,35
16:12:39.647 -> 7,599,453,306,157,68,36
16:12:40.257 -> 7,599,453,307,156,66,38
16:12:40.911 -> 7,600,454,305,155,65,35
16:12:41.520 -> 7,599,454,305,156,66,36
16:12:42.176 -> 6,600,453,306,156,67,37
16:12:42.785 -> 10,599,453,306,156,67,37
16:12:43.442 -> 8,599,453,306,157,66,34
16:12:44.050 -> 6,599,454,305,157,67,37
16:12:44.691 -> 10,599,453,305,155,67,37
16:12:45.347 -> 9,601,454,306,155,66,35
16:12:45.957 -> 6,600,454,304,157,67,35
16:12:46.613 -> 7,600,453,305,157,66,36
16:12:47.222 -> 10,599,453,306,155,67,35
16:12:47.831 -> 8,600,453,306,157,66,37
16:12:48.488 -> 8,600,453,305,157,67,37
16:12:49.112 -> 9,599,453,307,156,67,35
16:12:49.768 -> 6,599,453,306,157,66,35
16:12:50.377 -> 10,600,453,306,156,63,37
16:12:51.034 -> 7,600,454,305,157,67,35
16:12:51.643 -> 9,599,453,306,156,65,37
16:12:52.299 -> 6,599,454,306,157,65,35
16:12:52.908 -> 10,599,453,306,158,65,35
16:12:53.511 -> 6,598,453,305,155,67,36
16:12:54.168 -> 10,600,454,306,156,67,37
16:12:54.777 -> 10,599,454,307,156,66,35
16:12:55.433 -> 6,600,453,307,157,66,35
16:12:56.068 -> 10,599,453,305,156,66,36
16:12:56.678 -> 10,600,452,306,158,66,35
16:12:57.334 -> 8,600,453,306,157,67,35
16:12:57.943 -> 8,599,454,305,157,65,36
16:12:58.599 -> 10,600,453,304,156,66,35
16:12:59.210 -> 10,600,454,305,157,67,34
16:12:59.866 -> 6,600,453,306,156,63,36
16:13:00.475 -> 6,600,453,306,155,65,35
16:13:01.119 -> 7,599,453,305,157,67,37
16:13:01.729 -> 7,599,453,306,158,68,37
16:13:02.385 -> 6,599,453,306,157,65,38
16:13:02.994 -> 9,600,454,306,157,66,36
16:13:03.650 -> 8,599,453,305,157,66,35
16:13:04.260 -> 6,600,454,306,157,65,36
16:13:04.917 -> 6,599,453,305,157,66,37
16:13:05.527 -> 6,600,453,306,156,66,38
16:13:06.183 -> 8,599,453,306,156,67,35
16:13:06.792 -> 8,600,453,306,157,65,38
16:13:07.448 -> 10,599,453,305,156,66,35
16:13:08.058 -> 6,600,454,305,156,67,36
16:13:08.667 -> 10,600,453,306,156,67,35
16:13:09.323 -> 10,599,453,305,155,67,35
16:13:09.932 -> 11,600,453,305,156,67,37
16:13:10.588 -> 9,601,454,306,157,67,35
16:13:11.197 -> 6,600,453,307,156,66,38
16:13:11.854 -> 7,600,453,305,157,67,36
16:13:12.463 -> 10,600,454,305,155,66,35
16:13:13.118 -> 7,600,453,305,157,67,33
16:13:13.728 -> 6,600,455,307,157,66,37
16:13:14.384 -> 6,600,454,307,157,66,36
16:13:14.993 -> 7,600,454,306,156,66,35
16:13:15.650 -> 7,599,455,307,156,67,35
16:13:16.259 -> 7,600,454,306,156,66,35
16:13:16.915 -> 9,600,453,306,157,66,37
16:13:17.526 -> 8,601,453,307,156,65,36
16:13:18.182 -> 10,600,454,306,156,65,37
16:13:18.790 -> 6,600,454,305,156,67,38
16:13:19.447 -> 10,601,453,307,157,67,35
16:13:20.056 -> 10,599,454,306,156,67,36
16:13:20.712 -> 8,600,453,306,155,66,35
16:13:21.321 -> 7,600,454,305,157,65,37
16:13:21.977 -> 7,600,455,307,157,66,35
16:13:22.587 -> 10,600,453,305,157,67,37
16:13:23.241 -> 6,600,454,306,157,67,35
16:13:23.851 -> 6,600,455,307,157,66,35
16:13:24.507 -> 10,601,453,306,157,65,36
16:13:25.116 -> 6,600,455,306,157,65,36
16:13:25.725 -> 6,600,454,305,155,67,36
16:13:26.381 -> 8,600,454,306,156,66,37
16:13:26.990 -> 8,601,454,306,158,67,36
16:13:27.647 -> 9,601,454,305,155,67,36
16:13:28.255 -> 8,600,454,305,159,65,37
16:13:28.912 -> 6,600,453,306,157,65,36
16:13:29.522 -> 6,600,454,306,156,66,35
16:13:30.178 -> 7,601,453,306,157,66,36
16:13:30.787 -> 10,600,454,306,157,67,34
16:13:31.443 -> 7,600,455,306,156,65,35
16:13:32.053 -> 6,601,454,305,156,66,38
16:13:32.710 -> 6,600,455,306,157,66,37
16:13:33.331 -> 6,601,455,307,158,65,37
16:13:33.940 -> 10,600,454,307,158,66,37
16:13:34.597 -> 6,602,454,307,156,67,35
16:13:35.206 -> 8,601,454,306,158,65,38
16:13:35.824 -> 10,602,454,306,157,67,36
16:13:36.480 -> 10,601,455,306,157,67,35
16:13:37.090 -> 8,602,455,307,156,67,37
16:13:37.746 -> 8,601,455,307,157,67,36
16:13:38.367 -> 8,601,455,307,158,66,36
16:13:39.023 -> 8,602,454,306,157,67,37
16:13:39.632 -> 6,601,454,306,158,67,37
16:13:40.288 -> 6,601,455,306,157,66,35
16:13:40.877 -> 10,600,455,305,155,66,37
16:13:41.533 -> 8,601,455,307,158,67,37
16:13:42.144 -> 7,602,456,307,158,67,37
16:13:42.800 -> 10,601,454,307,158,67,36
16:13:43.410 -> 6,601,453,306,158,65,36
16:13:44.066 -> 10,601,455,307,157,67,37
16:13:44.675 -> 6,601,454,305,157,67,37
16:13:45.331 -> 10,601,456,306,158,66,37
16:13:45.941 -> 7,601,454,306,157,66,37
16:13:46.598 -> 6,601,456,306,156,66,36
16:13:47.207 -> 10,601,455,306,157,68,36
16:13:47.863 -> 6,601,455,306,158,67,36
16:13:48.472 -> 8,602,454,306,157,64,36
16:13:49.128 -> 10,601,455,307,156,67,37
16:13:49.737 -> 6,602,456,307,157,65,37
16:13:50.393 -> 6,602,454,307,158,67,36
16:13:51.003 -> 7,601,455,306,158,67,36
16:13:51.659 -> 10,602,454,308,157,68,36
16:13:52.285 -> 7,602,455,308,157,67,35
16:13:52.894 -> 10,601,455,307,157,65,35
16:13:53.518 -> 10,601,455,307,157,67,35
16:13:54.174 -> 11,601,455,307,156,67,35
16:13:54.783 -> 8,602,455,306,158,67,36
16:13:55.440 -> 8,601,455,307,156,66,35
16:13:56.049 -> 7,602,455,306,157,66,36
16:13:56.658 -> 6,601,455,307,157,67,36
16:13:57.314 -> 9,602,456,307,157,65,37
16:13:57.917 -> 9,602,455,307,157,66,36
16:13:58.573 -> 10,602,455,307,157,65,36
16:13:59.218 -> 6,601,455,307,157,67,35
16:13:59.827 -> 6,602,455,307,158,66,36
16:14:00.483 -> 10,602,455,307,157,65,35
16:14:01.092 -> 6,601,456,307,157,68,34
16:14:01.748 -> 8,603,455,306,157,66,35
16:14:02.358 -> 7,602,457,307,157,67,38
16:14:02.969 -> 10,603,455,307,157,66,36
16:14:03.625 -> 9,602,455,307,157,67,36
16:14:04.234 -> 10,602,456,307,157,67,37
16:14:04.891 -> 7,602,455,308,155,63,36
16:14:05.525 -> 7,601,455,307,158,66,36
16:14:06.181 -> 10,601,456,308,157,68,38
16:14:06.790 -> 6,603,456,307,157,68,35
16:14:07.399 -> 6,604,456,307,157,67,37
16:14:08.055 -> 7,602,456,308,157,65,36
16:14:08.665 -> 6,602,455,307,157,66,35
