i_d	V(n003)
4.105190671272918e-07	9.676942e-01
4.168693834703191e-07	9.682426e-01
4.233179328088042e-07	9.687911e-01
4.298662347082107e-07	9.693395e-01
4.365158322401487e-07	9.698879e-01
4.432682923459913e-07	9.704363e-01
4.501252062061158e-07	9.709848e-01
4.570881896148568e-07	9.715332e-01
4.641588833612594e-07	9.720816e-01
4.713389536157217e-07	9.726300e-01
4.786300923226192e-07	9.731784e-01
4.860340175990024e-07	9.737269e-01
4.935524741394609e-07	9.742753e-01
5.011872336272523e-07	9.748237e-01
5.089400951517886e-07	9.753721e-01
5.168128856325828e-07	9.759206e-01
5.248074602497515e-07	9.764690e-01
5.329257028811789e-07	9.770174e-01
5.411695265464418e-07	9.775658e-01
5.495408738576024e-07	9.781142e-01
5.580417174769739e-07	9.786627e-01
5.666740605819683e-07	9.792111e-01
5.754399373371336e-07	9.797595e-01
5.843414133734938e-07	9.803079e-01
5.933805862753038e-07	9.808564e-01
6.025595860743332e-07	9.814048e-01
6.118805757517970e-07	9.819532e-01
6.213457517480503e-07	9.825016e-01
6.309573444801674e-07	9.830500e-01
6.407176188675276e-07	9.835985e-01
6.506288748655305e-07	9.841469e-01
6.606934480075689e-07	9.846953e-01
6.709137099553837e-07	9.852437e-01
6.812920690579333e-07	9.857922e-01
6.918309709189080e-07	9.863406e-01
7.025328989730231e-07	9.868890e-01
7.134003750712267e-07	9.874374e-01
7.244359600749601e-07	9.879858e-01
7.356422544596108e-07	9.885342e-01
7.470218989273006e-07	9.890826e-01
7.585775750291522e-07	9.896311e-01
7.703120057971825e-07	9.901795e-01
7.822279563859699e-07	9.907279e-01
7.943282347242483e-07	9.912763e-01
8.066156921765797e-07	9.918247e-01
8.190932242152629e-07	9.923732e-01
8.317637711026361e-07	9.929216e-01
8.446303185839331e-07	9.934700e-01
8.576958985908581e-07	9.940184e-01
8.709635899560440e-07	9.945669e-01
8.844365191385625e-07	9.951153e-01
8.981178609606567e-07	9.956637e-01
9.120108393558713e-07	9.962121e-01
9.261187281287544e-07	9.967605e-01
9.404448517263119e-07	9.973089e-01
9.549925860213954e-07	9.978573e-01
9.697653591082081e-07	9.984058e-01
9.847666521101162e-07	9.989542e-01
9.999999999999574e-07	9.995026e-01
1.015468992433037e-06	1.000051e+00
1.031177274593011e-06	1.000600e+00
1.047128548050855e-06	1.001148e+00
1.063326571637116e-06	1.001696e+00
1.079775162327663e-06	1.002245e+00
1.096478196143138e-06	1.002793e+00
1.113439609062313e-06	1.003342e+00
1.130663397949590e-06	1.003890e+00
1.148153621496833e-06	1.004438e+00
1.165914401179781e-06	1.004987e+00
1.183949922229251e-06	1.005535e+00
1.202264434617361e-06	1.006084e+00
1.220862254059018e-06	1.006632e+00
1.239747763028890e-06	1.007180e+00
1.258925411794112e-06	1.007729e+00
1.278399719462968e-06	1.008277e+00
1.298175275049792e-06	1.008826e+00
1.318256738556349e-06	1.009374e+00
1.338648842069934e-06	1.009923e+00
1.359356390878466e-06	1.010471e+00
1.380384264602824e-06	1.011019e+00
1.401737418346708e-06	1.011568e+00
1.423420883864279e-06	1.012116e+00
1.445439770745863e-06	1.012665e+00
1.467799267622004e-06	1.013213e+00
1.490504643386130e-06	1.013762e+00
1.513561248436141e-06	1.014310e+00
1.536974515935203e-06	1.014858e+00
