pulse	I(D2)
-5.000000000000000e-01	3.435444e-08
-4.900000000000000e-01	3.435444e-08
-4.800000000000000e-01	3.435444e-08
-4.700000000000000e-01	3.435444e-08
-4.600000000000000e-01	3.435444e-08
-4.500000000000000e-01	3.435444e-08
-4.399999999999999e-01	3.435444e-08
-4.299999999999999e-01	3.435444e-08
-4.199999999999999e-01	3.435444e-08
-4.099999999999999e-01	3.435444e-08
-3.999999999999999e-01	3.435444e-08
-3.899999999999999e-01	3.435444e-08
-3.799999999999999e-01	3.435444e-08
-3.699999999999999e-01	3.435444e-08
-3.599999999999999e-01	3.435444e-08
-3.499999999999999e-01	3.435444e-08
-3.399999999999999e-01	3.435444e-08
-3.299999999999998e-01	3.435444e-08
-3.199999999999998e-01	3.435444e-08
-3.099999999999998e-01	3.435444e-08
-2.999999999999998e-01	3.435444e-08
-2.899999999999998e-01	3.435444e-08
-2.799999999999998e-01	3.435444e-08
-2.699999999999998e-01	3.435444e-08
-2.599999999999998e-01	3.435444e-08
-2.499999999999998e-01	3.435444e-08
-2.399999999999998e-01	3.435444e-08
-2.299999999999998e-01	3.435444e-08
-2.199999999999998e-01	3.435444e-08
-2.099999999999997e-01	3.435444e-08
-1.999999999999997e-01	3.435444e-08
-1.899999999999997e-01	3.435444e-08
-1.799999999999997e-01	3.435444e-08
-1.699999999999997e-01	3.435444e-08
-1.599999999999997e-01	3.435444e-08
-1.499999999999997e-01	3.435444e-08
-1.399999999999997e-01	3.435444e-08
-1.299999999999997e-01	3.435444e-08
-1.199999999999997e-01	3.435444e-08
-1.099999999999997e-01	3.435444e-08
-9.999999999999969e-02	3.435444e-08
-8.999999999999969e-02	3.435444e-08
-7.999999999999970e-02	3.435444e-08
-6.999999999999970e-02	3.435444e-08
-5.999999999999970e-02	3.435444e-08
-4.999999999999970e-02	3.435444e-08
-3.999999999999970e-02	3.435444e-08
-2.999999999999969e-02	3.435444e-08
-1.999999999999969e-02	3.435444e-08
-9.999999999999691e-03	3.435444e-08
3.087807787238717e-16	3.435444e-08
1.000000000000031e-02	3.435444e-08
2.000000000000031e-02	3.435444e-08
3.000000000000031e-02	3.435444e-08
4.000000000000031e-02	3.435444e-08
5.000000000000032e-02	3.435444e-08
6.000000000000032e-02	3.435444e-08
7.000000000000031e-02	3.435444e-08
8.000000000000031e-02	3.435444e-08
9.000000000000030e-02	3.435444e-08
1.000000000000003e-01	3.435444e-08
1.100000000000003e-01	3.435444e-08
1.200000000000003e-01	3.435444e-08
1.300000000000003e-01	3.435444e-08
1.400000000000003e-01	3.435444e-08
1.500000000000003e-01	3.435444e-08
1.600000000000003e-01	3.435444e-08
1.700000000000003e-01	3.435444e-08
1.800000000000003e-01	3.435444e-08
1.900000000000003e-01	3.435444e-08
2.000000000000003e-01	3.435444e-08
2.100000000000004e-01	3.435444e-08
2.200000000000004e-01	3.435444e-08
2.300000000000004e-01	3.435444e-08
2.400000000000004e-01	3.435444e-08
2.500000000000004e-01	3.435444e-08
2.600000000000004e-01	3.435444e-08
2.700000000000004e-01	3.435444e-08
2.800000000000004e-01	3.435444e-08
2.900000000000004e-01	3.435444e-08
3.000000000000004e-01	3.435444e-08
3.100000000000004e-01	3.435444e-08
3.200000000000005e-01	3.435444e-08
3.300000000000005e-01	3.435444e-08
3.400000000000005e-01	3.435444e-08
3.500000000000005e-01	3.435444e-08
3.600000000000005e-01	3.435444e-08
3.700000000000005e-01	3.435444e-08
3.800000000000005e-01	3.435444e-08
3.900000000000005e-01	3.435444e-08
4.000000000000005e-01	3.435444e-08
4.100000000000005e-01	3.435444e-08
4.200000000000005e-01	3.435444e-08
4.300000000000005e-01	3.435444e-08
4.400000000000006e-01	3.435444e-08
4.500000000000006e-01	3.435444e-08
4.600000000000006e-01	3.435444e-08
4.700000000000006e-01	3.435444e-08
4.800000000000006e-01	3.435444e-08
4.900000000000006e-01	3.435444e-08
5.000000000000006e-01	3.435444e-08
5.100000000000006e-01	3.435444e-08
5.200000000000006e-01	3.435444e-08
5.300000000000006e-01	3.435444e-08
5.400000000000006e-01	3.435444e-08
5.500000000000006e-01	3.435444e-08
5.600000000000006e-01	3.435444e-08
5.700000000000006e-01	3.435444e-08
5.800000000000006e-01	3.435444e-08
5.900000000000006e-01	3.435444e-08
6.000000000000006e-01	3.435444e-08
6.100000000000007e-01	3.435444e-08
6.200000000000007e-01	3.435444e-08
6.300000000000007e-01	3.435444e-08
6.400000000000007e-01	3.435444e-08
6.500000000000007e-01	3.435444e-08
6.600000000000007e-01	3.435444e-08
6.700000000000007e-01	3.435444e-08
6.800000000000007e-01	3.435444e-08
6.900000000000007e-01	3.435444e-08
7.000000000000007e-01	3.435444e-08
7.100000000000007e-01	3.435444e-08
7.200000000000008e-01	3.435444e-08
7.300000000000008e-01	3.435444e-08
7.400000000000008e-01	3.435444e-08
7.500000000000008e-01	3.435444e-08
7.600000000000008e-01	3.435444e-08
7.700000000000008e-01	3.435444e-08
7.800000000000008e-01	3.435444e-08
7.900000000000008e-01	3.435444e-08
8.000000000000008e-01	3.435444e-08
8.100000000000008e-01	3.435444e-08
8.200000000000008e-01	3.435444e-08
8.300000000000008e-01	3.435444e-08
8.400000000000009e-01	3.435444e-08
8.500000000000009e-01	3.435444e-08
8.600000000000009e-01	3.435444e-08
8.700000000000009e-01	3.435444e-08
8.800000000000009e-01	3.435444e-08
8.900000000000009e-01	3.435444e-08
9.000000000000009e-01	3.435444e-08
9.100000000000009e-01	3.435444e-08
9.200000000000009e-01	3.435444e-08
9.300000000000009e-01	3.435444e-08
9.400000000000009e-01	3.435444e-08
9.500000000000010e-01	3.435444e-08
9.600000000000010e-01	3.435444e-08
9.700000000000010e-01	3.435444e-08
9.800000000000010e-01	3.435444e-08
9.900000000000010e-01	3.435444e-08
1.000000000000001e+00	3.435444e-08
1.010000000000001e+00	3.435444e-08
1.020000000000001e+00	3.435444e-08
1.030000000000001e+00	3.435444e-08
1.040000000000001e+00	3.435444e-08
1.050000000000001e+00	3.435444e-08
1.060000000000001e+00	3.435444e-08
1.070000000000001e+00	3.435444e-08
1.080000000000001e+00	3.435444e-08
1.090000000000001e+00	3.435444e-08
1.100000000000001e+00	3.435444e-08
1.110000000000001e+00	3.435444e-08
1.120000000000001e+00	3.435444e-08
1.130000000000001e+00	3.435444e-08
1.140000000000001e+00	3.435444e-08
1.150000000000001e+00	3.435444e-08
1.160000000000001e+00	3.435444e-08
1.170000000000001e+00	3.435444e-08
1.180000000000001e+00	3.435444e-08
1.190000000000001e+00	3.435444e-08
1.200000000000001e+00	3.435444e-08
1.210000000000001e+00	3.435444e-08
1.220000000000001e+00	3.435444e-08
1.230000000000001e+00	3.435444e-08
1.240000000000001e+00	3.435444e-08
1.250000000000001e+00	3.435444e-08
1.260000000000001e+00	3.435444e-08
1.270000000000001e+00	3.435444e-08
1.280000000000001e+00	3.435444e-08
1.290000000000001e+00	3.435444e-08
1.300000000000001e+00	3.435444e-08
1.310000000000001e+00	3.435444e-08
1.320000000000001e+00	3.435444e-08
1.330000000000001e+00	3.435444e-08
1.340000000000001e+00	3.435444e-08
1.350000000000001e+00	3.435444e-08
1.360000000000001e+00	3.435444e-08
1.370000000000001e+00	3.435444e-08
1.380000000000001e+00	3.435444e-08
1.390000000000001e+00	3.435444e-08
1.400000000000001e+00	3.435444e-08
1.410000000000001e+00	3.435444e-08
1.420000000000001e+00	3.435444e-08
1.430000000000001e+00	3.435444e-08
1.440000000000001e+00	3.435444e-08
1.450000000000001e+00	3.435444e-08
1.460000000000001e+00	3.435444e-08
1.470000000000001e+00	3.435444e-08
1.480000000000001e+00	3.435444e-08
1.490000000000001e+00	3.435444e-08
1.500000000000001e+00	3.435444e-08
1.510000000000001e+00	3.435444e-08
1.520000000000001e+00	3.435444e-08
1.530000000000001e+00	3.435444e-08
1.540000000000001e+00	3.435444e-08
1.550000000000001e+00	3.435444e-08
1.560000000000001e+00	3.435444e-08
1.570000000000001e+00	3.435444e-08
1.580000000000001e+00	3.435444e-08
1.590000000000001e+00	3.435444e-08
1.600000000000001e+00	3.435444e-08
1.610000000000001e+00	3.435444e-08
1.620000000000001e+00	3.435444e-08
1.630000000000001e+00	3.435444e-08
1.640000000000001e+00	3.435444e-08
1.650000000000001e+00	3.435444e-08
1.660000000000001e+00	3.435444e-08
1.670000000000001e+00	3.435444e-08
1.680000000000001e+00	3.435444e-08
1.690000000000002e+00	3.435444e-08
1.700000000000002e+00	3.435444e-08
1.710000000000002e+00	3.435444e-08
1.720000000000002e+00	3.435444e-08
1.730000000000002e+00	3.435444e-08
1.740000000000002e+00	3.435444e-08
1.750000000000002e+00	3.435444e-08
1.760000000000002e+00	3.435444e-08
1.770000000000002e+00	3.435444e-08
1.780000000000002e+00	3.435444e-08
1.790000000000002e+00	3.435444e-08
1.800000000000002e+00	3.435444e-08
1.810000000000002e+00	3.435444e-08
1.820000000000002e+00	3.435444e-08
1.830000000000002e+00	2.249891e-06
1.840000000000002e+00	1.576607e-05
1.850000000000002e+00	4.149876e-05
1.860000000000002e+00	7.937750e-05
1.870000000000002e+00	1.293327e-04
1.880000000000002e+00	1.912953e-04
1.890000000000002e+00	2.651972e-04
1.900000000000002e+00	3.509705e-04
1.910000000000002e+00	4.485485e-04
1.920000000000002e+00	5.578647e-04
1.930000000000002e+00	6.788532e-04
1.940000000000002e+00	8.114492e-04
1.950000000000002e+00	9.555879e-04
1.960000000000002e+00	1.111205e-03
1.970000000000002e+00	1.278238e-03
1.980000000000002e+00	1.456624e-03
1.990000000000002e+00	1.646301e-03
2.000000000000002e+00	1.847206e-03
2.010000000000002e+00	2.059279e-03
2.020000000000001e+00	2.282459e-03
2.030000000000001e+00	2.516687e-03
2.040000000000001e+00	2.761903e-03
2.050000000000001e+00	3.018047e-03
2.060000000000000e+00	3.285063e-03
2.070000000000000e+00	3.562891e-03
2.080000000000000e+00	3.851474e-03
2.090000000000000e+00	4.150757e-03
2.100000000000000e+00	4.460681e-03
2.109999999999999e+00	4.781192e-03
2.119999999999999e+00	5.112233e-03
2.129999999999999e+00	5.453751e-03
2.139999999999999e+00	5.805691e-03
2.149999999999999e+00	6.167998e-03
2.159999999999998e+00	6.540620e-03
2.169999999999998e+00	6.923503e-03
2.179999999999998e+00	7.316594e-03
2.189999999999998e+00	7.719843e-03
2.199999999999998e+00	8.133195e-03
2.209999999999997e+00	8.556603e-03
2.219999999999997e+00	8.990012e-03
2.229999999999997e+00	9.433375e-03
2.239999999999997e+00	9.886639e-03
2.249999999999996e+00	1.034976e-02
2.259999999999996e+00	1.082268e-02
2.269999999999996e+00	1.130536e-02
2.279999999999996e+00	1.179774e-02
2.289999999999996e+00	1.229978e-02
2.299999999999995e+00	1.281143e-02
2.309999999999995e+00	1.333265e-02
2.319999999999995e+00	1.386339e-02
2.329999999999995e+00	1.440359e-02
