i1	V(n008)
7.585775750291767e-06	1.071897e+00
7.703120057972074e-06	1.072445e+00
7.822279563859952e-06	1.072994e+00
7.943282347242739e-06	1.073542e+00
8.066156921766056e-06	1.074091e+00
8.190932242152893e-06	1.074639e+00
8.317637711026630e-06	1.075188e+00
8.446303185839604e-06	1.075736e+00
8.576958985908857e-06	1.076285e+00
8.709635899560721e-06	1.076833e+00
8.844365191385909e-06	1.077382e+00
8.981178609606855e-06	1.077930e+00
9.120108393559005e-06	1.078479e+00
9.261187281287841e-06	1.079027e+00
9.404448517263421e-06	1.079576e+00
9.549925860214262e-06	1.080124e+00
9.697653591082393e-06	1.080673e+00
9.847666521101479e-06	1.081221e+00
9.999999999999894e-06	1.081770e+00
1.015468992433070e-05	1.082319e+00
1.031177274593044e-05	1.082867e+00
1.047128548050888e-05	1.083416e+00
1.063326571637150e-05	1.083964e+00
1.079775162327698e-05	1.084513e+00
1.096478196143173e-05	1.085061e+00
1.113439609062349e-05	1.085610e+00
1.130663397949626e-05	1.086158e+00
1.148153621496870e-05	1.086707e+00
1.165914401179818e-05	1.087255e+00
1.183949922229288e-05	1.087804e+00
1.202264434617399e-05	1.088352e+00
1.220862254059057e-05	1.088901e+00
1.239747763028930e-05	1.089450e+00
1.258925411794153e-05	1.089998e+00
1.278399719463009e-05	1.090547e+00
1.298175275049834e-05	1.091095e+00
1.318256738556392e-05	1.091644e+00
1.338648842069977e-05	1.092192e+00
1.359356390878509e-05	1.092741e+00
1.380384264602868e-05	1.093289e+00
1.401737418346753e-05	1.093838e+00
1.423420883864324e-05	1.094387e+00
1.445439770745910e-05	1.094935e+00
1.467799267622052e-05	1.095484e+00
1.490504643386178e-05	1.096032e+00
1.513561248436190e-05	1.096581e+00
1.536974515935252e-05	1.097130e+00
1.560749963092092e-05	1.097678e+00
1.584893192461094e-05	1.098227e+00
1.609409893262515e-05	1.098775e+00
1.634305842723117e-05	1.099324e+00
1.659586907437540e-05	1.099873e+00
1.685259044750730e-05	1.100421e+00
1.711328304161759e-05	1.100970e+00
1.737800828749353e-05	1.101518e+00
1.764682856619477e-05	1.102067e+00
1.791980722375310e-05	1.102616e+00
1.819700858609959e-05	1.103164e+00
1.847849797422266e-05	1.103713e+00
1.876434171956060e-05	1.104262e+00
1.905460717963222e-05	1.104810e+00
1.934936275390926e-05	1.105359e+00
1.964867789993441e-05	1.105907e+00
1.995262314968852e-05	1.106456e+00
2.026127012621115e-05	1.107005e+00
2.057469156047811e-05	1.107553e+00
2.089296130854010e-05	1.108102e+00
2.121615436892655e-05	1.108651e+00
2.154434690031854e-05	1.109199e+00
2.187761623949522e-05	1.109748e+00
2.221604091955780e-05	1.110297e+00
2.255970068843544e-05	1.110845e+00
2.290867652767740e-05	1.111394e+00
2.326305067153593e-05	1.111943e+00
2.362290662634428e-05	1.112491e+00
2.398832919019456e-05	1.113040e+00
2.435940447291991e-05	1.113589e+00
2.473621991638585e-05	1.114138e+00
2.511886431509543e-05	1.114686e+00
2.550742783711321e-05	1.115235e+00
2.590200204531286e-05	1.115784e+00
2.630267991895343e-05	1.116332e+00
2.670955587558945e-05	1.116881e+00
2.712272579331988e-05	1.117430e+00
2.754228703338125e-05	1.117979e+00
2.796833846309035e-05	1.118527e+00
2.840098047914172e-05	1.119076e+00
2.884031503126562e-05	1.119625e+00
2.928644564625192e-05	1.120174e+00
2.973947745234560e-05	1.120723e+00
3.019951720401969e-05	1.121271e+00
3.066667330713135e-05	1.121820e+00
3.114105584446710e-05	1.122369e+00
3.162277660168329e-05	1.122918e+00
3.211194909364772e-05	1.123466e+00
3.260868859118881e-05	1.124015e+00
3.311311214825858e-05	1.124564e+00
3.362533862951573e-05	1.125113e+00
3.414548873833547e-05	1.125662e+00
3.467368504525261e-05	1.126211e+00
3.521005201684462e-05	1.126759e+00
3.575471604506155e-05	1.127308e+00
3.630780547700954e-05	1.127857e+00
